1,亜,亞,二,7,S,,あ
836,嫉,,女,13,S,2010,しつ
837,漆,,水,14,S,,しつ
838,質,,貝,15,5,,しつ
838,質,,貝,15,5,,しつ
839,実,實,宀,8,3,,じつ
840,芝,,艸,6,S,,しば
841,写,寫,宀,5,3,,しゃ
842,社,社,示,7,2,,しゃ
843,車,,車,7,1,,しゃ
844,舎,舍,舌,8,5,,しゃ
845,者,者,老,8,3,,しゃ
846,射,,寸,10,6,,しゃ
848,赦,,赤,11,S,,しゃ
849,斜,,斗,11,S,,しゃ
849,斜,,斗,11,S,,しゃ
851,遮,,辵,14,S,1981,しゃ
852,謝,,言,17,5,,しゃ
852,謝,,言,17,5,,しゃ
853,邪,,邑,8,S,,じゃ
855,尺,,尸,4,6,,しゃく
856,借,,人,10,4,,しゃく
856,借,,人,10,4,,しゃく
858,釈,釋,釆,11,S,,しゃく
858,釈,釋,釆,11,S,,しゃく
859,爵,,爪,17,S,,しゃく
860,若,,艸,8,6,,じゃく
861,弱,,弓,10,2,,じゃく
863,手,,手,4,1,,しゅ
863,手,,手,4,1,,しゅ
864,主,,丶,5,3,,しゅ
865,守,,宀,6,3,,しゅ
867,取,,又,8,3,,しゅ
867,取,,又,8,3,,しゅ
869,首,,首,9,2,,しゅ
869,首,,首,9,2,,しゅ
871,珠,,玉,10,S,,しゅ
872,酒,,酉,10,3,,しゅ
872,酒,,酉,10,3,,しゅ
874,種,,禾,14,4,,しゅ
874,種,,禾,14,4,,しゅ
875,趣,,走,15,S,,しゅ
876,寿,壽,士,7,S,,じゅ
877,受,,又,8,3,,じゅ
879,授,,手,11,5,,じゅ
879,授,,手,11,5,,じゅ
881,儒,,人,16,S,,じゅ
882,樹,,木,16,6,,じゅ
882,樹,,木,16,6,,じゅ
883,収,收,攴,4,6,,しゅう
885,州,,巛,6,3,,しゅう
885,州,,巛,6,3,,しゅう
887,秀,,禾,7,S,,しゅう
887,秀,,禾,7,S,,しゅう
888,周,,口,8,4,,しゅう
889,宗,,宀,8,6,,しゅう
891,秋,,禾,9,2,,しゅう
891,秋,,禾,9,2,,しゅう
893,修,,人,10,5,,しゅう
893,修,,人,10,5,,しゅう
895,終,,糸,11,3,,しゅう
895,終,,糸,11,3,,しゅう
897,習,,羽,11,3,,しゅう
897,習,,羽,11,3,,しゅう
898,週,,辵,11,2,,しゅう
899,就,,尢,12,6,,しゅう
900,衆,,血,12,6,,しゅう
901,集,,隹,12,3,,しゅう
903,酬,,酉,13,S,,しゅう
904,醜,,酉,17,S,,しゅう
905,蹴,,足,19,S,2010,しゅう
906,襲,,衣,22,S,,しゅう
906,襲,,衣,22,S,,しゅう
907,十,,十,2,1,,じゅう
909,充,,儿,6,S,,じゅう
909,充,,儿,6,S,,じゅう
910,住,,人,7,3,,じゅう
911,柔,,木,9,S,,じゅう
912,重,,里,9,3,,じゅう
913,従,從,彳,10,6,,じゅう
915,銃,,金,14,S,,じゅう
915,銃,,金,14,S,,じゅう
916,獣,獸,犬,16,S,,じゅう
917,縦,縱,糸,16,6,,じゅう
919,祝,祝,示,9,4,,しゅく
919,祝,祝,示,9,4,,しゅく
920,宿,,宀,11,3,,しゅく
922,粛,肅,聿,11,S,,しゅく
923,縮,,糸,17,6,,しゅく
923,縮,,糸,17,6,,しゅく
924,塾,,土,14,S,1981,じゅく
925,熟,,火,15,6,,じゅく
926,出,,凵,5,1,,しゅつ
927,述,,辵,8,5,,じゅつ
928,術,,行,11,5,,じゅつ
929,俊,,人,9,S,,しゅん
930,春,,日,9,2,,しゅん
932,旬,,日,6,S,,じゅん
932,旬,,日,6,S,,じゅん
933,巡,,巛,6,S,,じゅん
934,盾,,目,9,S,,じゅん
936,殉,,歹,10,S,,じゅん
937,純,,糸,10,6,,じゅん
937,純,,糸,10,6,,じゅん
939,順,,頁,12,4,,じゅん
939,順,,頁,12,4,,じゅん
940,準,,水,13,5,,じゅん
942,遵,,辵,15,S,,じゅん
943,処,處,虍,5,6,,しょ
943,処,處,虍,5,6,,しょ
944,初,,刀,7,4,,しょ
945,所,,戶,8,3,,しょ
946,書,,曰,10,2,,しょ
948,暑,暑,日,12,3,,しょ
949,署,署,网,13,6,,しょ
949,署,署,网,13,6,,しょ
950,緒,緖,糸,14,S,,しょ
951,諸,諸,言,15,6,,しょ
952,女,,女,3,1,,じょ
953,如,,女,6,S,,じょ
954,助,,力,7,3,,じょ
955,序,,广,7,5,,じょ
956,叙,敍,攴,9,S,,じょ
957,徐,,彳,10,S,,じょ
958,除,,阜,10,6,,じょ
959,小,,小,3,1,,しょう
961,少,,小,4,2,,しょう
961,少,,小,4,2,,しょう
963,匠,,匚,6,S,,しょう
963,匠,,匚,6,S,,しょう
964,床,,广,7,S,,しょう
966,肖,,肉,7,S,,しょう
967,尚,,小,8,S,1981,しょう
968,招,,手,8,5,,しょう
968,招,,手,8,5,,しょう
969,承,,手,8,6,,しょう
970,昇,,日,8,S,,しょう
971,松,,木,8,4,,しょう
972,沼,,水,8,S,,しょう
973,昭,,日,9,3,,しょう
975,将,將,寸,10,6,,しょう
975,将,將,寸,10,6,,しょう
976,消,,水,10,3,,しょう
977,症,,疒,10,S,,しょう
978,祥,祥,示,10,S,,しょう
979,称,稱,禾,10,S,,しょう
980,笑,,竹,10,4,,しょう
981,唱,,口,11,4,,しょう
982,商,,口,11,3,,しょう
983,渉,涉,水,11,S,,しょう
984,章,,立,11,3,,しょう
986,訟,,言,11,S,,しょう
987,勝,,力,12,3,,しょう
987,勝,,力,12,3,,しょう
989,晶,,日,12,S,,しょう
989,晶,,日,12,S,,しょう
990,焼,燒,火,12,4,,しょう
992,硝,,石,12,S,,しょう
993,粧,,米,12,S,,しょう
994,詔,,言,12,S,,しょう
995,証,證,言,12,5,,しょう
995,証,證,言,12,5,,しょう
996,象,,豕,12,5,,しょう
997,傷,,人,13,6,,しょう
998,奨,奬,大,13,S,,しょう
999,照,,火,13,4,,しょう
1000,詳,,言,13,S,,しょう
1001,彰,,彡,14,S,,しょう
1002,障,,阜,14,6,,しょう
1004,衝,,行,15,S,,しょう
1004,衝,,行,15,S,,しょう
1005,賞,,貝,15,5,,しょう
1006,償,,人,17,S,,しょう
1008,鐘,,金,20,S,,しょう
1009,上,,一,3,1,,じょう
1009,上,,一,3,1,,じょう
1010,丈,,一,3,S,,じょう
1012,条,條,木,7,5,,じょう
1012,条,條,木,7,5,,じょう
1013,状,狀,犬,7,5,,じょう
1014,乗,乘,丿,9,3,,じょう
1015,城,,土,9,4,,じょう
1017,剰,剩,刀,11,S,,じょう
1018,常,,巾,11,5,,じょう
1018,常,,巾,11,5,,じょう
1019,情,,心,11,5,,じょう
1020,場,,土,12,2,,じょう
1022,蒸,,艸,13,6,,じょう
1023,縄,繩,糸,15,4,1981,じょう
1023,縄,繩,糸,15,4,1981,じょう
1025,嬢,孃,女,16,S,,じょう
1026,錠,,金,16,S,,じょう
1027,譲,讓,言,20,S,,じょう
1027,譲,讓,言,20,S,,じょう
1029,色,,色,6,2,,しょく
1029,色,,色,6,2,,しき
1031,食,,食,9,2,,しょく
1031,食,,食,9,2,,しょく
1032,植,,木,12,3,,しょく
1034,飾,,食,13,S,,しょく
1034,飾,,食,13,S,,しょく
1035,触,觸,角,13,S,,しょく
1037,織,,糸,18,5,,しょく
1037,織,,糸,18,5,,しょく
1038,職,,耳,18,5,,しょく
1040,尻,,尸,5,S,2010,しり
1041,心,,心,4,2,,しん
1041,心,,心,4,2,,しん
1042,申,,田,5,3,,しん
1043,伸,,人,7,S,,しん
1044,臣,,臣,7,4,,しん
1046,身,,身,7,3,,しん
1046,身,,身,7,3,,しん
1048,侵,,人,9,S,,しん
1048,侵,,人,9,S,,しん
1049,信,,人,9,4,,しん
1050,津,,水,9,S,,しん
1051,神,神,示,9,3,,しん
1053,娠,,女,10,S,,しん
1054,振,,手,10,S,,しん
1054,振,,手,10,S,,しん
1056,真,眞,目,10,3,,しん
1056,真,眞,目,10,3,,しん
1057,針,,金,10,6,,しん
1058,深,,水,11,3,,しん
1060,進,,辵,11,3,,しん
1060,進,,辵,11,3,,しん
1061,森,,木,12,1,,しん
1062,診,,言,12,S,,しん
1063,寝,寢,宀,13,S,,しん
1064,慎,愼,心,13,S,,しん
1065,新,,斤,13,2,,しん
1066,審,,宀,15,S,,しん
1067,震,,雨,15,S,,しん
1069,親,,見,16,2,,しん
1069,親,,見,16,2,,しん
1070,人,,人,2,1,,じん
1072,仁,,人,4,6,,じん
1072,仁,,人,4,6,,じん
1074,迅,,辵,6,S,,じん
1075,甚,,甘,9,S,1981,じん
1076,陣,,阜,10,S,,じん
1076,陣,,阜,10,S,,じん
1077,尋,,寸,12,S,,じん
1079,須,,頁,12,S,2010,す
1079,須,,頁,12,S,2010,す
1080,図,圖,囗,7,2,,ず
1081,水,,水,4,1,,すい
1082,吹,,口,7,S,,すい
1084,炊,,火,8,S,,すい
1085,帥,,巾,9,S,,すい
1086,粋,粹,米,10,S,,すい
1087,衰,,衣,10,S,,すい
1088,推,,手,11,6,,すい
1088,推,,手,11,6,,すい
1090,遂,,辵,12,S,,すい
1091,睡,,目,13,S,,すい
1092,穂,穗,禾,15,S,,すい
1092,穂,穗,禾,15,S,,すい
1093,随,隨,阜,12,S,,ずい
1095,枢,樞,木,8,S,,すう
1096,崇,,山,11,S,,すう
1097,数,數,攴,13,2,,すう
1097,数,數,攴,13,2,,すう
1099,杉,,木,7,S,1981,すぎ
1099,杉,,木,7,S,1981,すぎ
1101,寸,,寸,3,6,,すん
1102,瀬,瀨,水,19,S,,せ
1102,瀬,瀨,水,19,S,,せ
1103,是,,日,9,S,,ぜ
1104,井,,二,4,4,,せい
1105,世,,一,5,3,,せ
1106,正,,止,5,1,,せい
1107,生,,生,5,1,,せい
1108,成,,戈,6,4,,せい
1109,西,,襾,6,2,,せい
1110,声,聲,耳,7,2,,せい
1111,制,,刀,8,5,,せい
1112,姓,,女,8,S,,せい
1113,征,,彳,8,S,,せい
1114,性,,心,8,5,,せい
1115,青,,靑,8,1,,せい
1116,斉,齊,齊,8,S,1981,せい
1117,政,,攴,9,5,,せい
1118,星,,日,9,2,,せい
1120,省,,目,9,4,,せい
1120,省,,目,9,4,,せい
1122,逝,,辵,10,S,1981,せい
1123,清,,水,11,4,,せい
1123,清,,水,11,4,,せい
1124,盛,,皿,11,6,,せい
1126,晴,,日,12,2,,せい
1126,晴,,日,12,2,,せい
1127,勢,,力,13,5,,せい
1128,聖,,耳,13,6,,せい
1129,誠,,言,13,6,,せい
1130,精,,米,14,5,,せい
1131,製,,衣,14,5,,せい
1133,静,靜,靑,14,4,,せい
1133,静,靜,靑,14,4,,せい
1134,請,,言,15,S,,せい
1135,整,,攴,16,3,,せい
1137,税,,禾,12,5,,ぜい
1138,夕,,夕,3,1,,せき
1138,夕,,夕,3,1,,ゆう
1140,石,,石,5,1,,せき
1140,石,,石,5,1,,せき
1141,赤,,赤,7,1,,せき
1143,析,,木,8,S,,せき
1143,析,,木,8,S,,せき
1144,席,,巾,10,4,,せき
1146,隻,,隹,10,S,,せき
1147,惜,,心,11,S,,せき
1148,戚,,戈,11,S,2010,せき
1149,責,,貝,11,5,,せき
1150,跡,,足,13,S,,せき
1150,跡,,足,13,S,,せき
1151,積,,禾,16,4,,せき
1152,績,,糸,17,5,,せき
1153,籍,,竹,20,S,,せき
1154,切,,刀,4,2,,せつ
1155,折,,手,7,4,,せつ
1157,窃,竊,穴,9,S,,せつ
1158,接,,手,11,5,,せつ
1158,接,,手,11,5,,せつ
1159,設,,言,11,5,,せつ
1161,摂,攝,手,13,S,,せつ
1161,摂,攝,手,13,S,,せつ
1162,節,節,竹,13,4,,せつ
1163,説,,言,14,4,,せつ
1165,絶,絕,糸,12,5,,ぜつ
1165,絶,絕,糸,12,5,,ぜつ
1166,千,,十,3,1,,せん
1167,川,,巛,3,1,,せん
1168,仙,,人,5,S,1981,せん
1169,占,,卜,5,S,,せん
1170,先,,儿,6,1,,せん
1171,宣,,宀,9,6,,せん
1172,専,專,寸,9,6,,せん
1173,泉,,水,9,6,,せん
1174,浅,淺,水,9,4,,せん
1176,染,,木,9,6,,せん
1176,染,,木,9,6,,せん
1178,栓,,木,10,S,1981,せん
1179,旋,,方,11,S,,せん
1179,旋,,方,11,S,,せん
1180,船,,舟,11,2,,せん
1181,戦,戰,戈,13,4,,せん
1183,羨,,羊,13,S,2010,せん
1184,腺,,肉,13,S,2010,せん
1185,詮,,言,13,S,2010,せん
1186,践,踐,足,13,S,,せん
1187,箋,,竹,14,S,2010,せん
1188,銭,錢,金,14,6,,せん
1188,銭,錢,金,14,6,,せん
1189,潜,潛,水,15,S,,せん
1190,線,,糸,15,2,,せん
1192,選,,辵,15,4,,せん
1192,選,,辵,15,4,,せん
1194,繊,纖,糸,17,S,,せん
1195,鮮,,魚,17,S,,せん
1195,鮮,,魚,17,S,,せん
1196,全,,入,6,3,,ぜん
1197,前,,刀,9,2,,ぜん
1198,善,,口,12,6,,ぜん
1199,然,,火,12,4,,ぜん
1201,漸,,水,14,S,,ぜん
1202,膳,,肉,16,S,2010,ぜん
1203,繕,,糸,18,S,,ぜん
1204,狙,,犬,8,S,2010,そ
1204,狙,,犬,8,S,2010,そ
1205,阻,,阜,8,S,,そ
1206,祖,祖,示,9,5,,そ
1208,素,,糸,10,5,,そ
1208,素,,糸,10,5,,そ
1210,粗,,米,11,S,,そ
1211,組,,糸,11,2,,そ
1211,組,,糸,11,2,,そ
1213,訴,,言,12,S,,そ
1213,訴,,言,12,S,,そ
1215,遡,,辵,14,S,2010,そ
1216,礎,,石,18,S,,そ
1217,双,雙,隹,4,S,,そう
1217,双,雙,隹,4,S,,そう
1219,早,,日,6,1,,そう
1219,早,,日,6,1,,そう
1220,争,爭,爪,6,4,,そう
1221,走,,走,7,2,,そう
1222,奏,,大,9,6,,そう
1223,相,,目,9,3,,そう
1225,草,,艸,9,1,,そう
1225,草,,艸,9,1,,そう
1226,送,,辵,9,3,,そう
1227,倉,,人,10,4,,そう
1228,捜,搜,手,10,S,,そう
1229,挿,插,手,10,S,1981,そう
1230,桑,,木,10,S,,そう
1232,掃,,手,11,S,,そう
1233,曹,,曰,11,S,1981,そう
1234,曽,曾,曰,11,S,2010,そう
1235,爽,,爻,11,S,2010,そう
1236,窓,,穴,11,6,,そう
1236,窓,,穴,11,6,,そう
1237,創,,刀,12,6,,そう
1239,痩,瘦,疒,12,S,2010,そう
1240,葬,,艸,12,S,,そう
1240,葬,,艸,12,S,,そう
1241,装,裝,衣,12,6,,そう
1243,想,,心,13,3,,そう
1243,想,,心,13,3,,そう
1244,層,層,尸,14,6,,そう
1245,総,總,糸,14,5,,そう
1247,槽,,木,15,S,1981,そう
1248,踪,,足,15,S,2010,そう
1249,操,,手,16,6,,そう
1249,操,,手,16,6,,そう
1251,霜,,雨,17,S,,そう
1252,騒,騷,馬,18,S,,そう
1253,藻,,艸,19,S,1981,そう
1254,造,,辵,10,5,,ぞう
1254,造,,辵,10,5,,ぞう
1255,像,,人,14,5,,ぞう
1256,増,增,土,14,5,,ぞう
1258,蔵,藏,艸,15,6,,ぞう
1258,蔵,藏,艸,15,6,,ぞう
1259,贈,贈,貝,18,S,,ぞう
1261,即,卽,卩,7,S,,そく
1261,即,卽,卩,7,S,,そく
1262,束,,木,7,4,,そく
1263,足,,足,7,1,,そく
1265,則,,刀,9,5,,そく
1265,則,,刀,9,5,,そく
1266,息,,心,10,3,,そく
1268,速,,辵,10,3,,そく
1268,速,,辵,10,3,,そく
1269,側,,人,11,4,,そく
1270,測,,水,12,5,,そく
1271,俗,,人,9,S,,ぞく
1272,族,,方,11,3,,ぞく
1273,属,屬,尸,12,5,,ぞく
1275,続,續,糸,13,4,,ぞく
1275,続,續,糸,13,4,,ぞく
1276,卒,,十,8,4,,そつ
1277,率,,玄,11,5,,そつ
1278,存,,子,6,6,,そん
1279,村,,木,7,1,,そん
1280,孫,,子,10,4,,そん
1281,尊,,寸,12,6,,そん
1282,損,,手,13,5,,そん
1284,他,,人,5,3,,た
1284,他,,人,5,3,,た
1285,多,,夕,6,2,,た
1287,打,,手,5,3,,だ
1287,打,,手,5,3,,だ
1289,唾,,口,11,S,2010,だ
1290,堕,墮,土,12,S,,だ
1291,惰,,心,12,S,,だ
1292,駄,,馬,14,S,1981,だ
1293,太,,大,4,2,,たい
1293,太,,大,4,2,,たい
1294,対,對,寸,7,3,,たい
1295,体,體,骨,7,2,,たい
1296,耐,,而,9,S,,たい
1297,待,,彳,9,3,,たい
1299,胎,,肉,9,S,,たい
1300,退,,辵,9,6,,たい
1300,退,,辵,9,6,,たい
1301,帯,帶,巾,10,4,,たい
1303,堆,,土,11,S,2010,たい
1304,袋,,衣,11,S,,たい
1304,袋,,衣,11,S,,たい
1306,替,,曰,12,S,,たい
1306,替,,曰,12,S,,たい
1308,隊,,阜,12,4,,たい
1308,隊,,阜,12,4,,たい
1310,態,,心,14,5,,たい
1310,態,,心,14,5,,たい
1312,大,,大,3,1,,だい
1312,大,,大,3,1,,だいだい
1313,代,,人,5,3,,だい
1314,台,臺,至,5,2,,だい
1315,第,,竹,11,3,,だい
1316,題,,頁,18,3,,だい
1317,滝,瀧,水,13,S,,たき
1318,宅,,宀,6,6,,たく
1319,択,擇,手,7,S,,たく
1320,沢,澤,水,7,S,,たく
1321,卓,,十,8,S,,たく
1322,拓,,手,8,S,,たく
1323,託,,言,10,S,,たく
1325,諾,,言,15,S,,だく
1326,濁,,水,16,S,,だく
1327,但,,人,7,S,,ただ-し
1328,達,,辵,12,4,,たつ
1328,達,,辵,12,4,,たつ
1329,脱,,肉,11,S,,だつ
1330,奪,,大,14,S,,だつ
1332,誰,,言,15,S,2010,だれ
1332,誰,,言,15,S,2010,だれ
1333,丹,,丶,4,S,,たん
1335,担,擔,手,8,6,,たん
1335,担,擔,手,8,6,,たん
1336,単,單,口,9,4,,たん
1337,炭,,火,9,3,,たん
1339,探,,手,11,6,,たん
1339,探,,手,11,6,,たん
1341,短,,矢,12,3,,たん
1341,短,,矢,12,3,,たん
1343,端,,立,14,S,,たん
1343,端,,立,14,S,,たん
1345,誕,,言,15,6,,たん
1345,誕,,言,15,6,,たん
1347,団,團,囗,6,5,,だん
1347,団,團,囗,6,5,,だん
1348,男,,田,7,1,,だん
1349,段,,殳,9,6,,だん
1350,断,斷,斤,11,5,,だん
1351,弾,彈,弓,12,S,,だん
1353,談,,言,15,3,,だん
1353,談,,言,15,3,,だん
1355,地,,土,6,2,,ち
1355,地,,土,6,2,,ちち
1356,池,,水,6,2,,ち
1357,知,,矢,8,2,,ち
1358,値,,人,10,6,,ち
1360,致,,至,10,S,,ち
1360,致,,至,10,S,,ち
1361,遅,遲,辵,12,S,,ち
1363,稚,,禾,13,S,,ち
1364,置,,网,13,4,,ち
1364,置,,网,13,4,,ち
1366,竹,,竹,6,1,,ちく
1366,竹,,竹,6,1,,ちく
1368,逐,,辵,10,S,,ちく
1369,蓄,,艸,13,S,,ちく
1370,築,,竹,16,5,,ちく
1370,築,,竹,16,5,,ちく
1371,秩,,禾,10,S,,ちつ
1373,茶,,艸,9,2,,ちゃ
1374,着,,羊,12,3,,ちゃく
1374,着,,羊,12,3,,ちゃく
1376,中,,丨,4,1,,ちゅう
1376,中,,丨,4,1,,ちゅうちゅう
1377,仲,,人,6,4,,ちゅう
1378,虫,蟲,虫,6,1,,ちゅう
1379,沖,,水,7,4,,ちゅう
1380,宙,,宀,8,6,,ちゅう
1381,忠,,心,8,6,,ちゅう
1382,抽,,手,8,S,,ちゅう
1383,注,,水,8,3,,ちゅう
1384,昼,晝,日,9,2,,ちゅう
1386,衷,,衣,9,S,,ちゅう
1387,酎,,酉,10,S,2010,ちゅう
1388,鋳,鑄,金,15,S,,ちゅう
1389,駐,,馬,15,S,,ちゅう
1389,駐,,馬,15,S,,ちゅう
1390,著,著,艸,11,6,,ちょ
1392,丁,,一,2,3,,ちょう
1392,丁,,一,2,3,,ちょう
1394,庁,廳,广,5,6,,ちょう
1394,庁,廳,广,5,6,,ちょう
1396,町,,田,7,1,,ちょう
1396,町,,田,7,1,,ちょう
1397,長,,長,8,2,,ちょう
1398,挑,,手,9,S,1981,ちょう
1400,張,,弓,11,5,,ちょう
1400,張,,弓,11,5,,ちょう
1402,眺,,目,11,S,1981,ちょう
1403,釣,,金,11,S,1981,ちょう
1404,頂,,頁,11,6,,ちょう
1404,頂,,頁,11,6,,ちょう
1405,鳥,,鳥,11,2,,ちょう
1406,朝,,月,12,2,,ちょう
1407,貼,,貝,12,S,2010,ちょう
1408,超,,走,12,S,,ちょう
1410,跳,,足,13,S,,ちょう
1411,徴,徵,彳,14,S,,ちょう
1411,徴,徵,彳,14,S,,ちょう
1413,潮,,水,15,6,,ちょう
1413,潮,,水,15,6,,ちょう
1415,調,,言,15,3,,ちょう
1415,調,,言,15,3,,ちょう
1417,懲,懲,心,18,S,,ちょう
1418,直,,目,8,2,,ちょく
1418,直,,目,8,2,,ちょく
1420,捗,,手,10,S,2010,ちょく
1421,沈,,水,7,S,,ちん
1421,沈,,水,7,S,,ちん
1422,珍,,玉,9,S,,ん
1424,陳,,阜,11,S,,ちん
1425,賃,,貝,13,6,,ちん
1425,賃,,貝,13,6,,ん
1427,追,,辵,9,3,,つい
1427,追,,辵,9,3,,つい
1429,墜,,土,15,S,,つい
1429,墜,,土,15,S,,つい
1430,通,,辵,10,2,,つう
1432,塚,塚,土,12,S,1981,つか
1432,塚,塚,土,12,S,1981,つか
1434,坪,,土,8,S,,つぼ
1435,爪,,爪,4,S,2010,つめ、（つま）
1436,鶴,,鳥,21,S,2010,つる
1436,鶴,,鳥,21,S,2010,つる
1437,低,,人,7,4,,てい
1439,廷,,廴,7,S,,てい
1439,廷,,廴,7,S,,てい
1440,弟,,弓,7,2,,てい
1441,定,,宀,8,3,,てい
1442,底,,广,8,4,,てい
1443,抵,,手,8,S,,てい
1445,亭,,亠,9,S,1981,てい
1446,貞,,貝,9,S,,てい
1447,帝,,巾,9,S,,てい
1447,帝,,巾,9,S,,てい
1448,訂,,言,9,S,,てい
1449,庭,,广,10,3,,てい
1451,停,,人,11,5,,てい
1451,停,,人,11,5,,てい
1452,偵,,人,11,S,1981,てい
1454,提,,手,12,5,,てい
1454,提,,手,12,5,,てい
1455,程,,禾,12,5,,てい
1456,艇,,舟,13,S,,てい
1457,締,,糸,15,S,,てい
1459,泥,,水,8,S,1981,でい
1460,的,,白,8,4,,てき
1460,的,,白,8,4,,てき
1462,摘,,手,14,S,,てき
1463,滴,,水,14,S,,てき
1464,適,,辵,14,5,,てき
1464,適,,辵,14,5,,てき
1465,敵,,攴,15,6,,てき
1467,迭,,辵,8,S,,てつ
1468,哲,,口,10,S,,てつ
1468,哲,,口,10,S,,てつ
1469,鉄,鐵,金,13,3,,てつ
1470,徹,,彳,15,S,,てつ
1471,撤,,手,15,S,,てつ
1472,天,,大,4,1,,てんてん
1473,典,,八,8,4,,てん
1474,店,,广,8,2,,てん
1475,点,點,黑,9,2,,てん
1476,展,,尸,10,6,,てん
1477,添,,水,11,S,,てん
1478,転,轉,車,11,3,,てん
1480,田,,田,5,1,,でん
1480,田,,田,5,1,,でん
1481,伝,傳,人,6,4,,でん
1482,殿,,殳,13,S,,でん
1483,電,,雨,13,2,,でん
1484,斗,,斗,4,S,,と
1486,妬,,女,8,S,2010,と
1487,徒,,彳,10,4,,と
1487,徒,,彳,10,4,,と
1488,途,,辵,10,S,,と
1489,都,都,邑,11,3,,と
1490,渡,,水,12,S,,と
1492,賭,,貝,16,S,2010,と
1493,土,,土,3,1,,ど
1493,土,,土,3,1,,ど
1494,奴,,女,5,S,,ど
1495,努,,力,7,4,,ど
1496,度,,广,9,3,,ど
1498,刀,,刀,2,2,,とう
1499,冬,,冫,5,2,,とう
1499,冬,,冫,5,2,,とう
1500,灯,燈,火,6,4,,とう
1501,当,當,田,6,2,,とう
1502,投,,手,7,3,,とう
1503,豆,,豆,7,3,,とう
1504,東,,木,8,2,,とう
1505,到,,刀,8,S,,とう
1506,逃,,辵,9,S,,とう
1507,倒,,人,10,S,,とう
1509,唐,,口,10,S,,とう
1509,唐,,口,10,S,,とう
1510,島,,山,10,3,,とう
1511,桃,,木,10,S,,とう
1512,討,,言,10,6,,とう
1513,透,,辵,10,S,,とう
1514,党,黨,黑,10,6,,とう
1516,盗,盜,皿,11,S,,とう
1516,盗,盜,皿,11,S,,とう
1518,塔,,土,12,S,,とう
1519,搭,,手,12,S,1981,とう
1519,搭,,手,12,S,1981,とう
1521,湯,,水,12,3,,とう
1522,痘,,疒,12,S,,とう
1523,登,,癶,12,3,,とう
1523,登,,癶,12,3,,とう
1524,答,,竹,12,2,,とう
1525,等,,竹,12,3,,とう
1526,筒,,竹,12,S,,とう
1527,統,,糸,12,5,,とう
1528,稲,稻,禾,14,S,,とう
1529,踏,,足,15,S,,とう
1531,頭,,頁,16,2,,とう
1531,頭,,頁,16,2,,とう
1533,藤,,艸,18,S,2010,とう
1533,藤,,艸,18,S,2010,とう
1534,闘,鬭,鬥,18,S,,とう
1536,同,,口,6,2,,どう
1536,同,,口,6,2,,どう
1537,洞,,水,9,S,1981,どう
1539,動,,力,11,3,,どう
1539,動,,力,11,3,,どう
1540,堂,,土,11,5,,どう
1541,童,,立,12,3,,どう
1542,道,,辵,12,2,,どう
1543,働,,人,13,4,,どう
1544,銅,,金,14,5,,どう
1545,導,,寸,15,5,,どう
1547,峠,,山,9,S,,とうげ
1548,匿,,匸,10,S,,とく
1549,特,,牛,10,4,,とく
1549,特,,牛,10,4,,とく
1550,得,,彳,11,5,,とく
1551,督,,目,13,S,,とく
1552,徳,德,彳,14,4,,とく
1554,毒,,毋,8,5,,どく
1554,毒,,毋,8,5,,どく
1555,独,獨,犬,9,5,,どく
1556,読,讀,言,14,2,,どく
1558,凸,,凵,5,S,1981,とつ
1559,突,突,穴,8,S,,とつ
1559,突,突,穴,8,S,,とつ
1561,屯,,屮,4,S,1981,とん
1562,豚,,豕,11,S,,とん
1563,頓,,頁,13,S,2010,とん
1564,貪,,貝,11,S,2010,どん
1565,鈍,,金,12,S,,どん
1566,曇,,日,16,S,,どん
1567,丼,,丶,5,S,2010,どんぶり、（どん）
1568,那,,邑,7,S,2010,な
1568,那,,邑,7,S,2010,な
1569,奈,,大,8,4,2010,な
1570,内,,入,4,2,,ない
1571,梨,,木,11,4,2010,なし
1573,鍋,,金,17,S,2010,なべ
1574,南,,十,9,2,,なん
1574,南,,十,9,2,,なん
1576,難,難,隹,18,6,,なん
1576,難,難,隹,18,6,,なん
1577,二,,二,2,1,,に
1578,尼,,尸,5,S,,に
1580,匂,,勹,4,S,2010,にお-う
1581,肉,,肉,6,2,,にく
1581,肉,,肉,6,2,,にく
1583,日,,日,4,1,,にち
1583,日,,日,4,1,,にち
1584,入,,入,2,1,,にゅう
1585,乳,,乙,8,6,,にゅう
1587,任,,人,6,5,,にん
1587,任,,人,6,5,,にん
1589,忍,,心,7,S,,にん
1589,忍,,心,7,S,,にん
1590,認,,言,14,6,,にん
1591,寧,,宀,14,S,,ねい
1592,熱,,火,15,4,,ねつ
1593,年,,干,6,1,,ねんねん
1594,念,,心,8,4,,ねん
1596,粘,,米,11,S,,ねん
1597,燃,,火,16,5,,ねん
1597,燃,,火,16,5,,ねん
1599,納,,糸,10,6,,のう
1600,能,,肉,10,5,,のう
1600,能,,肉,10,5,,のう
1601,脳,腦,肉,11,6,,のう
1602,農,,辰,13,3,,のう
1603,濃,,水,16,S,,のう
1605,波,,水,8,3,,は
1605,波,,水,8,3,,は
1606,派,,水,9,6,,は
1607,破,,石,10,5,,は
1608,覇,霸,雨,19,S,1981,は
1609,馬,,馬,10,2,,ば
1611,罵,,网,15,S,2010,ば
