1,亜,亞,二,7,S,,あ
195,諧,,言,16,S,2010,かい
196,貝,,貝,7,1,,かい
197,外,,夕,5,2,,がい
198,劾,,力,8,S,,がい
199,害,,宀,10,4,,がい
200,崖,,山,11,S,2010,がい
201,涯,,水,11,S,1981,がい
202,街,,行,12,4,,がい
203,慨,慨,心,13,S,,がい
204,蓋,,艸,13,S,2010,がい
205,該,,言,13,S,,がい
206,概,槪,木,14,S,,がい
207,骸,,骨,16,S,2010,がい
208,垣,,土,9,S,1981,かき
209,柿,,木,9,S,2010,かき
210,各,,口,6,4,,かく
211,角,,角,7,2,,かく
212,拡,擴,手,8,6,,かく
213,革,,革,9,6,,かく
214,格,,木,10,5,,かく
215,核,,木,10,S,,かく
216,殻,殼,殳,11,S,1981,かく
217,郭,,邑,11,S,,かく
218,覚,覺,見,12,4,,かく
219,較,,車,13,S,,かく
220,隔,,阜,13,S,,かく
221,閣,,門,14,6,,かく
222,確,,石,15,5,,かく
223,獲,,犬,16,S,,かく
224,嚇,,口,17,S,,かく
225,穫,,禾,18,S,,かく
226,学,學,子,8,1,,がく
227,岳,嶽,山,8,S,,がく
228,楽,樂,木,13,2,,がく
229,額,,頁,18,5,,がく
230,顎,,頁,18,S,2010,かく
231,掛,,手,11,S,,かけ
232,潟,,水,15,4,1981,かた
233,括,,手,9,S,,かつ
234,活,,水,9,2,,かつ
235,喝,喝,口,11,S,1981,かつ
236,渇,渴,水,11,S,,かつ
237,割,,刀,12,6,,かつ
238,葛,,艸,12,S,2010,かつ
239,滑,,水,13,S,,かつ
240,褐,褐,衣,13,S,1981,かつ
241,轄,,車,17,S,,かつ
242,且,,一,5,S,,かつ
243,株,,木,10,6,,かぶ
244,釜,,金,10,S,2010,かま
245,鎌,,金,18,S,2010,かま
246,刈,,刀,4,S,,かる
247,干,,干,3,6,,かん
248,刊,,刀,5,5,,かん
249,甘,,甘,5,S,,かん
250,汗,,水,6,S,,かん
251,缶,罐,缶,6,S,1981,かん
252,完,,宀,7,4,,かん
253,肝,,肉,7,S,,かん
254,官,,宀,8,4,,かん
255,冠,,冖,9,S,,かん
256,巻,卷,卩,9,6,,かん
257,看,,目,9,6,,かん
258,陥,陷,阜,10,S,,かん
259,乾,,乙,11,S,,かん
260,勘,,力,11,S,,かん
261,患,,心,11,S,,かん
262,貫,,貝,11,S,,かん
263,寒,,宀,12,3,,かん
264,喚,,口,12,S,,かん
265,堪,,土,12,S,,かん
266,換,,手,12,S,,かん
267,敢,,攴,12,S,,かん
268,棺,,木,12,S,,かん
269,款,,欠,12,S,,かん
270,間,,門,12,2,,かん
271,閑,,門,12,S,,かん
272,勧,勸,力,13,S,,かん
273,寛,寬,宀,13,S,,かん
274,幹,,干,13,5,,かん
275,感,,心,13,3,,かん
276,漢,漢,水,13,3,,かん
277,慣,,心,14,5,,かん
278,管,,竹,14,4,,かん
279,関,關,門,14,4,,かん
280,歓,歡,欠,15,S,,かん
281,監,,皿,15,S,,かん
282,緩,,糸,15,S,,かん
283,憾,,心,16,S,,かん
284,還,,辵,16,S,,かん
285,館,,食,16,3,,かん
286,環,,玉,17,S,,かん
287,簡,,竹,18,6,,かん
288,観,觀,見,18,4,,かん
289,韓,,韋,18,S,2010,かん
290,艦,,舟,21,S,,かん
291,鑑,,金,23,S,,かん
292,丸,,丶,3,2,,まる
293,含,,口,7,S,,がん
294,岸,,山,8,3,,がん
295,岩,,山,8,2,,がん
296,玩,,玉,8,S,2010,かん
297,眼,,目,11,5,,がん
298,頑,,頁,13,S,1981,かん
299,顔,,頁,18,2,,がん
300,願,,頁,19,4,,がん
301,企,,人,6,S,,き
302,伎,,人,6,S,2010,き
303,危,,卩,6,6,,き
304,机,,木,6,6,,き
305,気,氣,气,6,1,,き
306,岐,,山,7,4,,き
307,希,,巾,7,4,,き
308,忌,,心,7,S,,き
309,汽,,水,7,2,,き
310,奇,,大,8,S,,き
311,祈,祈,示,8,S,,き
312,季,,子,8,4,,き
313,紀,,糸,9,5,,き
314,軌,,車,9,S,,き
315,既,既,无,10,S,,き
316,記,,言,10,2,,き
317,起,,走,10,3,,き
318,飢,,食,10,S,,き
319,鬼,,鬼,10,S,,き
320,帰,歸,止,10,2,,き
321,基,,土,11,5,,き
322,寄,,宀,11,5,,き
323,規,,見,11,5,,き
324,亀,龜,龜,11,S,2010,き
325,喜,,口,12,5,,き
326,幾,,幺,12,S,,き
327,揮,,手,12,6,,き
328,期,,月,12,3,,き
329,棋,,木,12,S,,き
330,貴,,貝,12,6,,き
331,棄,,木,13,S,,き
332,毀,,殳,13,S,2010,き
333,旗,,方,14,4,,き
334,器,器,口,15,4,,き
335,畿,,田,15,S,2010,き
336,輝,,車,15,S,,き
337,機,,木,16,4,,き
338,騎,,馬,18,S,,き
339,技,,手,7,5,,ぎ
340,宜,,宀,8,S,,ぎ
341,偽,僞,人,11,S,,ぎ
342,欺,,欠,12,S,,ぎ
343,義,,羊,13,5,,ぎ
344,疑,,疋,14,6,,ぎ
345,儀,,人,15,S,,ぎ
346,戯,戲,戈,15,S,,ぎ
347,擬,,手,17,S,,ぎ
348,犠,犧,牛,17,S,,ぎ
349,議,,言,20,4,,ぎ
350,菊,,艸,11,S,,きく
351,吉,,口,6,S,,きち
352,喫,,口,12,S,,きつ
353,詰,,言,13,S,,きつ
354,却,,卩,7,S,,かえ
355,客,,宀,9,3,,きゃく
356,脚,,肉,11,S,,きゃく
357,逆,,辵,9,5,,ぎゃく
358,虐,,虍,9,S,,ぎゃく
359,九,,乙,2,1,,きゅう
360,久,,丿,3,5,,きゅう
361,及,,又,3,S,,きゅう
362,弓,,弓,3,2,,きゅう
363,丘,,一,5,S,,きゅう
364,旧,舊,臼,5,5,,きゅう
365,休,,人,6,1,,きゅう
366,吸,,口,6,6,,きゅう
367,朽,,木,6,S,,きゅう
368,臼,,臼,6,S,2010,きゅう
369,求,,水,7,4,,きゅう
370,究,,穴,7,3,,きゅう
371,泣,,水,8,4,,きゅう
372,急,,心,9,3,,きゅう
373,級,,糸,9,3,,きゅう
374,糾,,糸,9,S,,きゅう
375,宮,,宀,10,3,,きゅう
376,救,,攴,11,5,,きゅう
377,球,,玉,11,3,,きゅう
378,給,,糸,12,4,,きゅう
379,嗅,,口,13,S,2010,きゅう
380,窮,,穴,15,S,,きゅう
381,牛,,牛,4,2,,きゅう
382,去,,厶,5,3,,きょ
383,巨,,工,4,S,,きょ
384,居,,尸,8,5,,きょ
385,拒,,手,8,S,,きょ
386,拠,據,手,8,S,,きょ
387,挙,擧,手,10,4,,きょ
388,虚,虛,虍,11,S,,きょ
389,許,,言,11,5,,きょ
390,距,,足,12,S,,きょ
391,魚,,魚,11,2,,ぎょ
392,御,,彳,12,S,,ご
393,漁,,水,14,4,,ぎょ
394,凶,,凵,4,S,,きょう
395,共,,八,6,4,,きょう
396,叫,,口,6,S,,きょう
397,狂,,犬,7,S,,きょう
398,京,,亠,8,2,,きょう
399,享,,亠,8,S,,きょう
400,供,,人,8,6,,きょう
401,協,,十,8,4,,きょう
402,況,,水,8,S,,きょう
403,峡,峽,山,9,S,,きょう
404,挟,挾,手,9,S,1981,きょう
405,狭,狹,犬,9,S,,きょう
406,恐,,心,10,S,,きょう
407,恭,,心,10,S,,きょう
408,胸,,肉,10,6,,きょう
409,脅,,肉,10,S,,きょう
410,強,,弓,11,2,,きょう
411,教,,攴,11,2,,きょう
412,郷,鄕,邑,11,6,,きょう
413,境,,土,14,5,,きょう
414,橋,,木,16,3,,きょう
415,矯,,矢,17,S,1981,きょう
416,鏡,,金,19,4,,きょう
417,競,,立,20,4,,きょう
418,響,響,音,20,S,,きょう
419,驚,,馬,22,S,,きょう
420,仰,,人,6,S,,ぎょう
421,暁,曉,日,12,S,,きょう
422,業,,木,13,3,,ぎょう
423,凝,,冫,16,S,,ぎょう
424,曲,,曰,6,3,,きょく
425,局,,尸,7,3,,きょく
426,極,,木,12,4,,きょく
427,玉,,玉,5,1,,ぎょく
428,巾,,巾,3,S,2010,きん
429,斤,,斤,4,S,,きん
430,均,,土,7,5,,きん
431,近,,辵,7,2,,きん
432,金,,金,8,1,,きん
433,菌,,艸,11,S,,きん
434,勤,勤,力,12,6,,きん
435,琴,,玉,12,S,,きん
436,筋,,竹,12,6,,きん
437,僅,,人,13,S,2010,きん
438,禁,,示,13,5,,きん
439,緊,,糸,15,S,,きん
440,錦,,金,16,S,2010,きん
441,謹,謹,言,17,S,,きん
442,襟,,衣,18,S,1981,きん
443,吟,,口,7,S,,ぎん
444,銀,,金,14,3,,ぎん
445,区,區,匸,4,3,,く
446,句,,口,5,5,,く
447,苦,,艸,8,3,,く
448,駆,驅,馬,14,S,,く
449,具,,八,8,3,,ぐ
450,惧,,心,11,S,2010,ぐ
451,愚,,心,13,S,,ぐ
452,空,,穴,8,1,,くう
453,偶,,人,11,S,,ぐう
454,遇,,辵,12,S,,ぐう
455,隅,,阜,12,S,1981,ぐう
456,串,,丨,7,S,2010,くし
457,屈,,尸,8,S,,くつ
458,掘,,手,11,S,,くつ
459,窟,,穴,13,S,2010,くつ
460,熊,,火,14,4,2010,くま
461,繰,,糸,19,S,,くり
462,君,,口,7,3,,くん
463,訓,,言,10,4,,くん
464,勲,勳,力,15,S,,くん
465,薫,薰,艸,16,S,,くん
466,軍,,車,9,4,,ぐん
467,郡,,邑,10,4,,ぐん
468,群,,羊,13,4,,ぐん
469,兄,,儿,5,2,,けい
470,刑,,刀,6,S,,けい
471,形,,彡,7,2,,けい
472,系,,糸,7,6,,けい
473,径,徑,彳,8,4,,けい
474,茎,莖,艸,8,S,,けい
475,係,,人,9,3,,けい
476,型,,土,9,5,,けい
477,契,,大,9,S,,けい
478,計,,言,9,2,,けい
479,恵,惠,心,10,S,,けい
480,啓,,口,11,S,,けい
481,掲,揭,手,11,S,,けい
482,渓,溪,水,11,S,1981,けい
483,経,經,糸,11,5,,けい
484,蛍,螢,虫,11,S,1981,けい
485,敬,,攴,12,6,,けい
486,景,,日,12,4,,けい
487,軽,輕,車,12,3,,けい
488,傾,,人,13,S,,けい
489,携,,手,13,S,,けい
490,継,繼,糸,13,S,,けい
491,詣,,言,13,S,2010,けい
492,慶,,心,15,S,,けい
493,憬,,心,15,S,2010,けい
494,稽,,禾,15,S,2010,けい
495,憩,,心,16,S,,けい
496,警,,言,19,6,,けい
497,鶏,鷄,鳥,19,S,,けい
498,芸,藝,艸,7,4,,げい
499,迎,,辵,7,S,,げい
500,鯨,,魚,19,S,,げい
501,隙,,阜,13,S,2010,げき
502,劇,,刀,15,6,,げき
503,撃,擊,手,15,S,,げき
504,激,,水,16,6,,げき
505,桁,,木,10,S,2010,けた
506,欠,缺,缶,4,4,,けつ
507,穴,,穴,5,6,,けつ
508,血,,血,6,3,,けつ
509,決,,水,7,3,,けつ
510,結,,糸,12,4,,けつ
511,傑,,人,13,S,,けつ
512,潔,,水,15,5,,けつ
513,月,,月,4,1,,げつ
514,犬,,犬,4,1,,けん
515,件,,人,6,5,,けん
516,見,,見,7,1,,けん
517,券,,刀,8,6,,けん
518,肩,,肉,8,S,,けん
519,建,,廴,9,4,,けん
520,研,硏,石,9,3,,けん
521,県,縣,糸,9,3,,けん
522,倹,儉,人,10,S,,けん
523,兼,,八,10,S,,けん
