+to come in,「入り込む」,はいりこむ

+to fall down dancing(artistically moving),「舞い散る」,まいちる
[to whirl down]

+to spin,「グルグル回る」、ぐるぐるまわる
+to spin,「巡る」,めぐる

+to stick something on a wall,「を張る」,はる

+to increase something,「何かを増やす」,ふやす
+to increase,「が増える」,ふえる

+to decrease,「が減る」,へる
+to decrease something,「を減らす」,へらす

+to cover something,「被る」,かぶる
[to cover a head with a hat]
[to cover a vally with a snow]

+to wrap something,「包む」,つつむ
[to wrap something with a paper]

+to be in a difficult situation,[が困る],こまる
[i have lost my wallet and i can't go back home, i am in a difficult situation]
[if i had to chose tea or coffee this would be difficult situation for me]

+to begin something,「～を始める」,はじめる
[i begun to move]

+to blink,「瞬く」,またたく
[]


+to burry something,「～を埋める」,うめる
[Pirates friquently burry treasures and mark the spot on a map]

+to clap,拍手する,はくしゅする
[at the end of gym  we clap our hands]
[this time one hand was busy so i clapped against my thigh]


+to clean something,「～を掃除する」,そうじする
[there was a lot of dust in the room]
[cloth was on a floor]
[i had to clean it up]

+to click ,クリックする,くりっくする
[cicking with one's tongue or a pen or a mouse]

+to disappear,「消える」,きえる
[suddenly to become unseen]
[to be gone]
[my wallet has disappeared!]

+to get used to,「が慣れる」,なれる


+to start doing something,「〜を始める」,はじめる
+to stand,「が立つ」,立つ
+to start moving,「が動き始める」,うごきはじめる

+to go out somewhere,「に出かける」,でかける

+to grow as living thing,「が生える」,はえる
+to grow living things,「を育てる」,そだてる
+to hang(to come in contact),「が掛かる」,かかる
+to happen to pass,「が通りかかる」,とおりかかる
[to come in contact while passing nearby]
+to stretch something,「を伸ばす」,のばす
+to inhale,「吸い込む」,すいこむ
[part of breathing cycle]
[to inhave / to exhale]

+to exhale,「吐き出す」, はきだす

+to approach and keep distance,「近付く」,ちかづく
[おいつく same づく meaning]
[to keep distance]
[付いてくる = to come attached, to follow]
[approach constanly = keep]

+to leak a secret,[が漏れる],もれる

+to fall intensively,「降り頻る」,ふりしきる
[to do something with extra effort]
[to happen more intensively than usually]

+to cry intensively(loudly),「泣き頻る」,なきしきる
+to hide something well,「隠し頻る」,かくししきる
--------------------------------- 



to lean on hands,「手を付く」,てをつく
[to help to maintain posture using hands]

to hit something with a hand ,「を打つ」,うつ

to hit(to reach a destination),「が当たる」,あたる

to be piled up,「積まれる」,つまれる
[unordered pile of things put on on top of another]
[a pile of clothes]

to be stacked,「が重なる」,かさなる
[ordered pile of things, carefully put one on top of another]

to put on a stack,「を重ねる」,かさねる
[to add another item on top of another]

to be similar to something,「に似る」,にる
「similar doesnt mean the same」


to alleviate pain,「」
[to make pain sympthoms less felt]
[to make something lighter]
[in Old Latin it means to lift something up]
 

to cheer someone up,励ます,はげます
[someone was sitting head lowered to the chest so i tried to cheer him up]
[turned out that he was just sleeping]



to collaborate with someone,「誰かと協力する」,きょうりょくする
[to have a common goal and to team up with someone for collaboration]
[to collaborate means to do the same kind of work toward common goal]

 
to complicate something,「～を複雑にする」,ふくざつにする
[to make something less easy]
[to make something harder to understand]
[to make something to have extra details that aren't required in a current situation]

to compose something,構成する,こうせいする
[to compose is to put smaller parts together in order to create a final object]

to compress something,圧縮する,あっしゅくする
[to compress is to apply pressure to make something smaller that it normally is]
[to compress an air]
[to compress a file]
[in artistical language you can say "compress your idea"]

to condensate ,凝縮する,ぎょうしゅくする
[water vapor condensates when the temperature is lowered]
[to change state from vapor to liquid]

to connect with something,「～に接続する」,せつぞくする
[connect two cables together]
[the cities are connected with highways]
[to connect is to join]

to conquer something,「～を征服する」,せいふくする
[to conquer is to win a battle and to receive a territory]
[the territory or a city was conqured by someone in 1999...]

to consume something,「～を消費する」,しょうひする
[to consume is to eat]
[in chemistry, reaction consumes reactants and creates products]
[this trip will consume all your money]
[a resource is consumed while doing work]


to crawl,「が這う」,はう
[crawl on my knees]
[to move using arms and knees]

to crouch,「シャガム」,しゃがむ
